Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
P470 2013.8535        -0.790         0.584         5.065   0.849   0.719   2.957
P470 2019.5072        11.072         1.237        -0.288   1.109   0.954   3.846
P471 2010.2587        -1.909        -3.200         1.075   0.833   0.696   2.810
P471 2012.1068        -1.146        -1.768         0.449   0.877   0.720   2.952
P471 2013.8344         0.617         0.335         7.445   0.910   0.753   3.085
P471 2019.1294         2.963         0.173        -4.251   0.938   0.804   3.140
P472 2007.9918         0.378         2.572         3.275   0.741   0.633   2.541
P472 2010.2587        -0.240       -12.934        -4.128   0.788   0.668   2.698
P472 2012.0192        -0.237        -1.527         3.637   0.840   0.710   2.863
P472 2018.9788         2.243         0.766        -3.406   0.961   0.840   3.273
P472 2019.8439         0.746         3.878        -2.249   1.512   1.318   5.081
P473 2007.9918         0.382         3.168         1.828   0.732   0.622   2.466
P473 2010.2587        -0.602       -18.183        -5.055   0.769   0.648   2.583
P473 2012.1013        -0.695        -3.005         1.604   0.823   0.690   2.746
P473 2018.9788         2.060         1.268        -2.617   0.940   0.815   3.134
P474 2007.9890         1.425         1.704        -0.172   0.747   0.635   2.564
P474 2010.2587        -0.964        -5.647        -2.091   0.829   0.701   2.833
P474 2016.9829         0.286         0.622        -4.289   0.809   0.699   2.739
P474 2019.0253         3.136         1.163        -3.570   0.958   0.830   3.251
P475 2010.2587        -0.964       -12.815        -0.807   0.823   0.724   3.063
P475 2011.9836        -0.412        -0.014         6.972   0.893   0.783   3.300
P475 2018.9569         2.350         1.151        -3.421   0.907   0.818   3.322
P476 2006.7324         1.432         1.472         0.481   0.768   0.644   2.566
P476 2010.2587        -0.277        -4.988        -0.871   0.743   0.621   2.483
P476 2019.1294         2.800         1.285        -5.808   0.875   0.748   2.901
P477 2010.2423        -1.984        -4.063        -4.543   0.876   0.739   2.971
P477 2016.3258        -0.030        -3.395        -1.799   0.817   0.700   2.762
P477 2018.9760         2.336        -2.866        -3.908   0.850   0.737   2.896
P478 2006.7378         2.369         1.592         0.480   0.767   0.664   2.702
P478 2010.2587        -1.495        -7.097        -2.012   0.856   0.744   3.050
P478 2016.9637        -0.872         0.506        -3.969   0.827   0.739   2.944
P478 2018.9897         2.070         1.565        -3.493   0.962   0.864   3.453
P479 2007.9124         2.039         1.291        -1.360   0.775   0.657   2.602
P479 2010.2587        -4.165        -3.998        -3.136   0.845   0.710   2.828
P479 2017.0322         0.388        -0.113        -4.938   0.828   0.712   2.753
P479 2018.9788         3.195         1.087        -5.718   0.864   0.746   2.882
P480 2010.2615        -7.444       -16.126         1.163   0.764   0.646   2.635
P480 2014.1218        -1.708        -2.438         4.943   0.775   0.655   2.662
P481 2010.2587       -21.872       -21.801         4.749   1.866   1.580   6.459
P481 2010.4558       -13.293         0.761        -0.691   1.989   1.682   6.876
P481 2011.2443        -3.372        -1.822         1.236   1.143   0.955   3.935
P481 2012.2382        -2.420        -1.127         2.803   0.955   0.797   3.287
P481 2014.0671        -1.856        -1.007         3.557   0.889   0.755   3.053
P482 2007.0226         2.266         1.860         2.208   0.828   0.712   2.905
P482 2010.2587        -4.765        -7.091         0.427   0.884   0.756   3.098
P482 2014.7763        -3.789         1.938         0.160   0.937   0.801   3.283
P482 2019.1294         2.428         0.856        -4.537   0.939   0.819   3.281
P483 2007.0691         1.660         2.402         3.855   0.858   0.735   2.883
P483 2010.2615        -3.736       -12.078        -3.229   0.857   0.728   2.878
P483 2012.2409        -1.425        -1.171         4.710   0.832   0.701   2.781
P483 2014.7763        -4.466         3.768         3.245   0.901   0.767   3.018
P483 2018.9788         1.842         0.909        -3.358   0.922   0.801   3.095
P484 2010.2697        -6.395        -5.598         0.856   0.913   0.773   3.195
P484 2012.2382        -2.317        -0.726         2.598   0.859   0.720   2.987
P484 2014.0671        -2.051         0.224         3.973   0.893   0.748   3.094
P484 2015.4990        -2.920         0.256        -2.307   0.896   0.762   3.117
P484 2019.4935         2.617         0.359        -4.350   1.110   0.954   3.868
P485 2010.2587        -7.628        -4.722         4.027   0.784   0.661   2.891
P485 2013.1691        -2.364         0.213         4.855   0.876   0.735   3.208
P486 2010.2806       -11.373        -1.854         2.236   0.827   0.698   2.844
P486 2012.2437        -3.418         0.326         2.858   0.791   0.661   2.706
P486 2014.7762        -2.291         1.719         1.518   0.815   0.687   2.781
P487 2010.2615       -16.151        -0.980         3.618   0.927   0.785   3.149
P487 2012.2409        -2.667         0.505         2.567   0.964   0.811   3.258
P487 2015.7673         2.873        -2.620         1.738   1.141   0.978   3.853
P487 2018.9760         2.685        -0.416        -2.330   1.003   0.867   3.393
P488 2007.9124         2.829         0.859        -0.435   1.077   0.917   3.681
P488 2010.2587       -16.814        -0.535         2.892   1.738   1.455   5.851
P488 2010.4860        -4.360         1.329         1.445   1.755   1.468   5.909
P488 2012.2409        -2.307         0.904         2.998   0.874   0.728   2.941
P488 2018.9788         3.420         0.232        -2.589   1.017   0.878   3.439
P489 2010.2806       -16.545         1.277         3.770   0.925   0.778   3.266
P489 2011.4059        -2.928         1.347         2.452   0.982   0.819   3.442
P489 2017.7208         3.997        -1.724        -4.693   0.977   0.841   3.401
P490 2010.2861       -12.140        -1.649         1.828   0.859   0.745   3.094
P490 2011.9425        -2.900         0.134         4.417   0.920   0.796   3.316
P490 2017.5305         3.106        -1.989        -0.794   0.964   0.860   3.540
P491 2007.6331         3.271         1.359         0.018   0.820   0.677   2.838
P491 2010.2834       -14.367         0.242         1.917   0.827   0.672   2.847
P491 2012.2327        -3.050         1.036         3.424   0.909   0.734   3.116
P491 2018.9541         3.064         0.137        -2.827   0.972   0.808   3.352
P492 2008.6708         2.396         1.865        -1.014   1.029   0.878   3.596
P492 2010.2587       -31.119        -6.562         7.735   1.907   1.609   6.547
P492 2010.4558       -11.815         2.206         0.363   1.997   1.678   6.827
P492 2011.2443        -3.185        -0.328         1.777   1.148   0.955   3.926
P492 2012.2272        -2.310        -0.370         3.430   0.985   0.820   3.371
P492 2018.9788         2.783         0.325        -2.359   0.923   0.801   3.167
P493 2008.8624         2.738         0.131        -0.552   0.971   0.828   3.342
P493 2010.2587       -52.168         2.805        13.267   1.898   1.602   6.450
P493 2010.4531        -8.357         2.439         2.906   1.974   1.666   6.697
P493 2011.2416        -4.642         1.362         2.692   1.112   0.938   3.763
P493 2012.2437        -3.055        -0.810         3.957   0.984   0.828   3.332
P493 2018.2888         0.821        -0.999         8.720   1.205   1.048   4.089
P493 2018.7899         1.815         1.650       -11.867   1.205   1.043   4.074
P494 2006.8802         4.325         0.982        -2.926   1.078   0.934   3.852
P494 2007.8056         6.943        -3.449         0.784   1.145   0.989   4.125
P494 2008.7693         4.281        -0.879        -6.297   1.062   0.910   3.837
P494 2010.2587      -203.468        43.736       -15.571   3.432   2.860  12.173
P494 2010.3190        -8.346         4.952         7.976   4.006   3.352  14.195
P494 2010.4531        -2.255        13.490         0.346   2.762   2.358   9.838
P494 2010.6913        -0.578         7.291         2.967   2.352   2.020   8.382
P494 2010.9131        -2.550         5.418         0.597   2.103   1.770   7.426
P494 2011.3101        -3.831         2.553        17.001   1.901   1.582   6.766
P494 2011.6468        -1.172        -2.992        10.033   3.232   2.705  11.465
P494 2011.7235        -2.973       -10.572         9.063   3.122   2.605  11.014
P494 2012.2437        -3.874         1.672         3.629   1.248   1.025   4.310
P494 2014.7791        -6.176        -3.124        13.143   1.008   0.853   3.514
P495 2007.9890         4.664        -0.483         2.579   0.851   0.729   2.930
P495 2010.2587       -44.478        -4.342        11.188   1.709   1.443   5.816
P495 2010.4969        -6.854         1.703         2.285   1.852   1.559   6.291
P495 2011.2443        -7.216         1.104         3.480   1.158   0.962   3.926
P495 2012.2409        -4.309         2.411         2.796   1.377   1.152   4.700
P495 2012.6543         5.034       -27.249         1.478   1.458   1.225   4.954
P495 2013.3634        -4.681         1.363         2.630   1.139   0.953   3.830
P495 2014.4504        -3.047         1.517        -4.678   1.005   0.849   3.403
P495 2019.5127         4.918        -1.530        -1.716   1.478   1.267   5.036
P496 2006.7652         5.478        -1.313        -4.411   1.729   1.558   6.095
P496 2007.0116         5.432        -4.083         3.598   1.828   1.646   6.450
P496 2007.6057         7.737        -3.244         0.380   1.865   1.648   6.606
P496 2007.8576         5.211        -3.479        -0.626   2.003   1.776   7.103
P496 2008.2327         6.213        -3.526         5.121   1.552   1.352   5.473
P496 2008.9555         6.717        -4.768         0.535   1.321   1.125   4.679
P496 2009.6454         5.531        -5.997        -0.613   1.376   1.200   4.916
P496 2010.2587      -188.544        20.353         8.487   3.283   2.800  11.534
P496 2010.3244        -7.686         5.754         8.046   3.793   3.236  13.271
P496 2010.4531        -4.244         7.306         2.583   2.618   2.269   9.183
P496 2010.7570        -4.128         2.616         4.858   1.781   1.546   6.288
P496 2011.2882        -4.551         2.130         7.219   1.304   1.105   4.551
P496 2012.2382        -3.090         1.635         7.258   1.054   0.901   3.717
P496 2017.8289         1.730         2.202        -4.759   1.060   0.953   3.859
P496 2018.7817         4.643        -1.084        -2.188   1.188   1.073   4.418
P496 2019.5154         3.911        -2.166         0.544   1.338   1.202   5.032
P497 2006.9843         5.429         0.229        -1.683   1.125   0.979   3.960
P497 2007.9124         6.624        -0.214        -0.737   1.121   0.967   3.951
P497 2008.8706         5.033        -0.920        -0.820   1.106   0.944   3.889
P497 2009.8946         3.315        -1.334        -2.842   1.510   1.294   5.277
P497 2010.2587      -109.434        10.784        19.734   2.250   1.910   7.794
P497 2010.4531        -9.134         7.770         3.934   2.031   1.713   7.010
P497 2011.2361        -7.067         2.847         3.781   1.162   0.970   4.015
P497 2012.2437        -4.336         1.710         3.764   1.411   1.188   4.938
P497 2012.6543         5.523         2.722         0.051   1.338   1.134   4.685
P497 2018.9760         3.309        -1.006        -2.735   0.960   0.838   3.346
P498 2006.7652         4.731         0.205        -1.380   1.145   0.994   4.044
P498 2007.8029         5.362         0.274        -1.473   1.097   0.954   3.907
P498 2008.8706         5.141        -1.915        -1.148   1.064   0.915   3.774
P498 2010.2587       -77.487         5.240        14.711   1.993   1.695   6.961
P498 2010.4504        -7.602         5.616         2.508   2.087   1.776   7.296
